Performance,Li,B,C,N,O,Na,Mg,Al,Si,P,S,Cl,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,In,Er
1.04,8.6666666667,0,86.6666666667,58.3333333333,88.3333333333,83.6666666667,16.3333333333,516.6666666667,13.3333333333,0,26,6.6666666667,0.6666666667,0,0,0,21.3333333333,0,0,43.3333333333,0.0,0,8733.3333333333,1533.3333333333
0.84,4,0,38.3333333333,12.3333333333,33.3333333333,20.3333333333,76.6666666667,2596.6666666667,2,2.6666666667,114.6666666667,3.6666666667,0,0,0,0,36.6666666667,0,0,0,0.0,0,14466.6666666667,2416.6666666667
1.97,0,0,24.3333333333,14,47.3333333333,19.6666666667,74.6666666667,4720,5.6666666667,0,0,10,0,0,0,0,49.6666666667,0,0,0,0.0,0,7666.6666666667,3250
1.03,10.3333333333,0,46.6666666667,5.3333333333,35,53.3333333333,16.6666666667,21.3333333333,12.3333333333,0,28.6666666667,3.6666666667,0,0,0,0,0,0,0,0,0.0,0,6433.3333333333,3400
1.3,23,0,39,7.6666666667,37.3333333333,111.3333333333,43,68.3333333333,15.3333333333,1,61.6666666667,3.6666666667,0,0,4.6666666667,0,32.6666666667,0,4.3333333333,132.3333333333,0.0,0,15900,24433.3333333333
0.55,0.0,0.0,16,10,530,8,43,36,29,0.0,0.0,68,0,0,0,0,65,0,0,0,0.0,0,65000,33
1.46,1.3333333333,30.3333333333,41,11,186.6666666667,3.3333333333,70.3333333333,1573.3333333333,8.3333333333,0,44.3333333333,6.3333333333,0,0,2.3333333333,0,10,0,3.6666666667,12.3333333333,0.0,0,3833.3333333333,1900
1.72,0,0,57,12.6666666667,180,0,36,84.3333333333,0,0,61.6666666667,9.3333333333,0,0,0,0,18.3333333333,0,0,0,0.0,0,4266.6666666667,1723.3333333333
0.35,0,0,46.6666666667,5,55,4.6666666667,26,44.6666666667,9.3333333333,27,35.6666666667,10.6666666667,0.2333333333,0,2,0,1833.3333333333,0,0,0,0.0,0,3400,0
0.4,0,0,288.3333333333,41.6666666667,740,11,45.3333333333,1700,40,4,53.3333333333,21.6666666667,0,0,156.6666666667,132.3333333333,2133.3333333333,2,52.3333333333,0,0.0,0,3933.3333333333,2366.6666666667
1.75,0,0,135,12,146.6666666667,143.3333333333,37,737,2,0,16.6666666667,12,0,0,0,0,0,0,0,0,4.8666666667,0,2866.6666666667,30523.3333333333
1.45,0,0,38.3333333333,11.6666666667,210,11,39.3333333333,23.3333333333,7.3333333333,0,0,4.6666666667,0,0,2.6666666667,0,40.3333333333,0,0,0,0.0,0,4700,1833.3333333333
1.58,0,0,111.6666666667,2,146.6666666667,18.6666666667,40,22.3333333333,2,0,12,0,0,0,0,0,55.6666666667,0,0,0,0.0,0,3800,1633.3333333333
0.34,0,0,91.6666666667,63.3333333333,678.3333333333,38.6666666667,11.3333333333,32,21,0,37,21.6666666667,0.3333333333,0,0,0,25,0,0,0,0.0,0,5866.6666666667,960
0.24,0,120,416.6666666667,4.3333333333,270,36.6666666667,23,73.6666666667,12.6666666667,0,0,7.3333333333,0.6666666667,0,0,0,0,0,0,0,0.0,0,5666.6666666667,2900
0.64,0,7.6666666667,108.3333333333,11.3333333333,240,13.6666666667,23.6666666667,42.3333333333,94,0,0,15.3333333333,0,0,0,0,113.3333333333,0,4.6666666667,0,0.0,0,2366.6666666667,1193.3333333333
1.1,0,0,275,9.5,245,34.5,8,26.5,9.5,0,74.5,29,0,0,0,0,37,0,0,0,0.0,0,5500,1250
0.3,0,0,345,5.5,330,385,195,450,20.5,6,160,37.5,0,0,0,0,235,0,0,41,0.0,0,9350,1230
0.65,0,0,11.5,3,40,2.5,56.5,42,14.5,0,32.5,24,0,0,0,0,34.5,0,0,0,0.0,0,7450,3700
0.59,0,0,27.5,10.5,62.5,12,10,32.5,4.5,0,137.5,14,0,0,3.5,0,37.5,0,10.5,0,0.0,0,7200,4550
0.6,0,0,9,14,57.5,79,84,330,95,0,0,0,0,0,0,0,185,0,0,0,0.0,0,4950,3800
0.65,13.5,5,410,7.5,280,200,26.5,19,10,6,0,7.5,0,0,0,5,29.5,0,29,0,0.0,0,3700,2730
0.75,0,0,880,120,740,73,21,16,0,0,19,0,0,0,0,0,0,0,0,0,4.4,0,1100,500
1.5,0,0,60,17,105,7,17,52,4,0,0,0,0,0,0,0,0,0,0,0,3.4,0,11750,475
0.49,0,0,45,20,185,18.5,21,54.5,20.5,5.5,0,23.5,0,0,31.5,0,46,0,50,0,0.0,0,4700,23050
1.67,2,0,171.6666666667,28.3333333333,300,54.3333333333,14.3333333333,39,0,0,0,14.3333333333,0,0,16.6666666667,0,0,0,0,0,0.0,0,4033.3333333333,3033.3333333333
1.42,0,0,161.6666666667,95,300,69.3333333333,45,30.3333333333,23.6666666667,0,21.6666666667,14.3333333333,0,0,6.6666666667,0,0,0,24,0,0.0,0,4433.3333333333,9933.3333333333
2.25,12,0,115,26,140,67,6,34,23,3,21,0,0,0,0,0,70,0,0,0,3.1,0,12200,43100
0.94,6.6666666667,0,266.6666666667,43.3333333333,543.3333333333,132.6666666667,19,167.3333333333,1139,5.6666666667,0,87.6666666667,1,0,14,0,0,0,21.6666666667,53.3333333333,0.0,0,4233.3333333333,6400
0.82,0,0,66.6666666667,8.3333333333,63.3333333333,31.3333333333,140,69.3333333333,2.3333333333,0,78,0,0,0,2.6666666667,0,167.3333333333,0,0,0,0.0,0,4466.6666666667,1663.3333333333
0.57,0,0,85,38.5,150,21.5,14.5,30,10,4,0,0,0,0,13.5,0,0,0,0,0,0.0,0,2700,2270
1.75,4.5,0,380,8.5,245,216.5,17.5,20,0,0,0,0,29.5,0,0,0,66.5,0,0,0,4.3,0,4050,230
1,3.5,0,17.5,4.5,60,481.5,30,89,3.5,0,0,200,0,0,0,0,44,0,0,0,3.6,0,4250,920
1.25,0,0,65,6,150,21,10,56,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3200,320
1.75,0,0,37,7.5,220,9.5,35,490,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,5200,1700
0.75,15,0,360,15,425,105,55,34,12,0,67,13,0,0,9,0,155,0,0,0,3.5,0,5100,1700
1.25,0,0,130,5,235,23,70.5,30.5,6,2.5,105,19.5,0,0,0,0,98,0,0,0,3.9,0,4650,230
1.5,6,0,40,7,75,6,180,15,0,0,28,6,0,0,6,0,210,0,0,0,5.1,0,2900,320
2,41,0,35,6,150,750,34,45,10,0,18,0,0,0,13,0,68,0,42,180,4.5,0,4500,50000
1.75,0,0,22.5,10.5,180,15,27,25,5.5,15.5,0,0,0,0,0,0,48.5,0,0,0,3.7,0,4550,230
1.75,0,260,12.5,5,85,0,11.5,28.5,16,10.5,145,20,0,0,0,0,33,0,0,0,3.1,0,6150,2065
2,0,22,10,7,107,0,64,8,2,0,57.5,2,0,0,0,0,30,0,0,0,4.1,0,2100,74
1,9,0,22,28,62,19,24,39,5,26,135,39,0,0,6,0,180,0,0,0,4,0,5200,900
2.5,14.5,360.5,6.5,37.5,300,12.5,68,2.5,0,0,106,57.5,0,0,0,0,13.5,0,0,0,3.5,0,3850,7
2.5,0,180,32,15,110,0,137,0,0,0,99,0,0,0,2.5,0,97,0,0,0,4.3,0,5900,0
0.0,0,0,32.5,12.5,105,0,30.5,14,0,0,185,0,0,0,0,0,0,0,0,0,3.1,0,3950,121
1.25,0,0,30,4,30,0,190,22,0,0,69,0,0,0,0,0,35,0,0,0,7.1,0,3800,310
